Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220uF","C_Elec_6.3x7.7",-139.375000,-121.700000,0.000000,bottom
"C7","47uF","C_Elec_5x5.4",-139.625000,-130.725000,0.000000,bottom
